"IDكودالصيانة","رقم الشاسية","تاريخ الصيانة","عداد اسود","عداد الوان","بيان الاصلاح","المهندس","قطع الغيار المطوبة","Field1"
"194","W912P904863","8/10/2022 12:00:00 AM","156498","","تركيب ديفولبر فاتورة","اسامة","",""
"195","E334M320234","8/14/2022 12:00:00 AM","26680","","تركيب ديفولبر فاتورة","اسامة","",""
"200","T1128762943","8/17/2022 12:00:00 AM","200989","","تم التعريف","","محتاج حبر",""
"201","E244CA30154","8/11/2022 12:00:00 AM","117364","185356","تم تركيب درام + رول شحن ازرق","رحيم","",""
"202","E244CA30154","8/14/2022 12:00:00 AM","117364","202948","تم ضبط اليونت الاصفر + تحصيل 3300","رحيم","",""
"212","X106P701704","8/22/2022 12:00:00 AM","","","تم ملو حبراحمر + اسود + شحن الشبايات","احمد رضا","",""
"216","S9024300805","8/15/2022 12:00:00 AM","56831","","عداد تسليم","احمد رحيم","",""
"219","T1139562232","8/16/2022 12:00:00 AM","4960","","عداد تسليم الالة","اسماعيل","",""
"220","T1139562232","8/24/2022 12:00:00 AM","5028","","تم صيانة الالة فى الورشة وتم التسليم بحالة جيدة","رضا","حساب الصيانة 350 جنية",""
"228","S3726720040 ش","8/23/2022 12:00:00 AM","660891","","صيانة دورية","شعبان","",""
"229","S7214000955 ش","9/4/2022 12:00:00 AM","339645","46341","محتاج حبر","شعبان","",""
"230","G074P300502 ش","8/23/2022 12:00:00 AM","475867","138040","الالة تحتاج بامب اسود","شعبان","",""
"231","S7214000955 ش","8/23/2022 12:00:00 AM","338381","46329","صيانة دورية","شعبان","","السيوف"
"233","V1494200985 ش","8/25/2022 12:00:00 AM","534028","6551","تم حل مشكلة سحب الورق الدرج الاول","رضا","",""
"235","W512J701951","8/23/2022 12:00:00 AM","478776","177232","الالة تحتاج سخان","شعبان","",""
"240","S7233800023","8/25/2022 12:00:00 AM","1070767","14822","صيانة للدرج + مجموعة السحب","شعبان","",""
"244","LH45X14456","5/30/2022 12:00:00 AM","828170","","عداد تسليم الالة","طارق","",""
"245","LH45X14456","7/25/2022 12:00:00 AM","829308","","صيانة دورية","طارق","",""
"247","V1409533107","7/19/2022 12:00:00 AM","262206","76399","تم تغير كرونا جانبية","مجدى","",""
"251","W915PC03471","8/27/2022 12:00:00 AM","183459","","صيانة دورية","مجدى","",""
"252","V2494700196","8/27/2022 12:00:00 AM","91777","1773","تعليق الدرج الاول + تعليق في التصوير + حشر في الفيدر + محتاج حبر احمر","ايمن","",""
"254","v7701000217","8/21/2022 12:00:00 AM","101488","234791","حشر","ايمن","",""
"255","V7711100126","8/25/2022 12:00:00 AM","674514","157217","صيانة دورية","ايمن","",""
"256","بدون","8/25/2022 12:00:00 AM","81420","","صيانة دورية","ايمن","",""
"257","W524J100278","8/25/2022 12:00:00 AM","506185","","تحتاج الي روال سخان + روال زيت + طقم اظافر","ايمن","",""
"259","J8344601667","8/28/2022 12:00:00 AM","365690","","تم ضبط الصورة والالة تحتاج ديفلبر +روال سخان علوي","يوسف","",""
"260","L7973600152","8/21/2022 12:00:00 AM","1172257","","صيانة دورية","ايمن","",""
"261","S7214601188","8/21/2022 12:00:00 AM","31929","25782","حشر","ايمن","",""
"264","v7701000217","8/25/2022 12:00:00 AM","101488","234802","حشر في السخان","ايمن","",""
"265","M5593300590","8/21/2022 12:00:00 AM","842675","","صيانة دورية","ايمن","",""
"266","8W98870448","8/21/2022 12:00:00 AM","170738","","صيانة دورية","ايمن","",""
"267","H6717101229","8/21/2022 12:00:00 AM","194953","","صيانة دورية","ايمن","",""
"268","M6384301390","8/22/2022 12:00:00 AM","451252","","حشر في الفيدر","ايمن","",""
"269","V7902901140","8/22/2022 12:00:00 AM","843862","","تم تركيب روال زيت","ايمن","",""
"270","W523J100167","8/22/2022 12:00:00 AM","838716","","صيانة دورية","ايمن","",""
"271","S7224000358","8/23/2022 12:00:00 AM","494110","163324","صيانة دورية","ايمن","",""
"272","M5582800340","8/24/2022 12:00:00 AM","432708","","تم تغير روال زيت","ايمن","",""
"273","V2404600206","8/24/2022 12:00:00 AM","311899","102913","صيانة دورية","ايمن","",""
"274","V7912600553","8/25/2022 12:00:00 AM","507001","","الالة تحتاج روال زيت","ايمن","",""
"275","M5583000008","8/25/2022 12:00:00 AM","1392364","","صيانة دورية","ايمن","",""
"276","V7913200528","8/25/2022 12:00:00 AM","343941","","تم ضبط الصورة","ايمن","",""
"277","M558300008","8/25/2022 12:00:00 AM","823742","","الصورة ضعيفة","ايمن","",""
"278","M582900752","8/25/2022 12:00:00 AM","678979","","حشر في الفيدر","ايمن","",""
"280","M6493700000","8/21/2022 12:00:00 AM","552132","","تم وضع حبر","الزهرى","",""
"285","V2284600654","8/24/2022 12:00:00 AM","293969","","تم تغير موتور الحبر الاسود","ايمن","",""
"286","L7016660136","8/24/2022 12:00:00 AM","220279","","مسطرة الدوبلكس مكسورة","ايمن","",""
"288","W512J401016","8/28/2022 12:00:00 AM","978237","569922","الالة تحتاج سخان 02","مجدى","حساب السخان 2500 جنية",""
"289","LH45X14456","8/28/2022 12:00:00 AM","831174","","تم تغير كابل البور","رضا","",""
"290","N4B3405785","8/28/2022 12:00:00 AM","848561","","باب الجنب مكسور","رضا","",""
"291","W512J401016","9/1/2022 12:00:00 AM","978260","569972","تم تغير سخان استراد","مجدى","تم دفع 1500 جنية",""
"292","V7913100397","8/28/2022 12:00:00 AM","945084","","تم تركيب درام + شفرة","مجدى","الحساب 650 جنية",""
